"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p"
"PSA","stratification","ATE","6","30/70","~3","Raw","No","Expanded","trees",NA,NA,NA,0.00435737960830152,0.0254608801129024,0.864138760031396
"PSA","stratification","ATE","6","30/70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.303151945646555,0.931503945129426,0.744894990429266
"PSA","stratification","ATE","6","40/60","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0101085489804628,0.0259672077101929,0.697118072174543
"PSA","stratification","ATE","6","40/60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.783836433321906,0.872816446828462,0.369287149915686
"PSA","stratification","ATE","6","40/60","~3","Raw","No","Original","trees",NA,NA,NA,-0.0220932443864016,0.0227481828134251,0.331587329495065
"PSA","stratification","ATE","6","40/60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.63186782645932,0.782661345155404,0.419592100239732
"PSA","stratification","ATE","6","40/60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.0245235827207583,0.0264458073837621,0.353898275176293
"PSA","stratification","ATE","6","40/60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.3051975915212,0.878465938804815,0.137530417942426
"PSA","stratification","ATE","6","40/60","~3","Raw","No","Expanded","trees",NA,NA,NA,0.00413290129923263,0.0226993085719818,0.855548972907228
"PSA","stratification","ATE","6","40/60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.161961619855328,0.780095688555742,0.835553312846059
"PSA","stratification","ATE","6","50","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00772237771172294,0.0235187196525375,0.742681479133294
"PSA","stratification","ATE","6","50","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.535934752092448,0.75067726368667,0.475351325959696
"PSA","stratification","ATE","6","50","~3","Raw","No","Original","trees",NA,NA,NA,-0.0161032369061413,0.0194488788488888,0.407781260235619
"PSA","stratification","ATE","6","50","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.306630736976998,0.693801692012173,0.658567540744537
"PSA","stratification","ATE","6","50","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.00958130170792677,0.0225278674612063,0.670657635209023
"PSA","stratification","ATE","6","50","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.572433424820312,0.749831560345496,0.445306050722777
"PSA","stratification","ATE","6","50","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.00331199296963437,0.0191499103926682,0.8627074528962
"PSA","stratification","ATE","6","50","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.0346755897248536,0.676137126126544,0.959103627496826
"PSA","stratification","ATE","6","60","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.000837347398725952,0.0250027453298324,0.973287033218605
"PSA","stratification","ATE","6","60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.124372438284179,0.797591100717236,0.876100043407596
"PSA","stratification","ATE","6","60","~3","Raw","No","Original","trees",NA,NA,NA,-0.0152782812069869,0.0199735433698289,0.44440527238979
"PSA","stratification","ATE","6","60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.379941465384426,0.748066443991516,0.611580481655688
"PSA","stratification","ATE","6","60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.00132074978159698,0.0241185444877783,0.956334574678204
"PSA","stratification","ATE","6","60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.00975915130244172,0.79475791775425,0.990203935568953
"PSA","stratification","ATE","6","60","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.00875470325217239,0.0204875172341646,0.669192751517926
"PSA","stratification","ATE","6","60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.21550274151226,0.745514312197513,0.772560723424666
"PSA","stratification","ATE","6","70","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.000608688972355297,0.0343507417926964,0.985864149621072
"PSA","stratification","ATE","6","70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.497765990871477,1.01665988434346,0.624464595005849
"PSA","stratification","ATE","6","70","~3","Raw","No","Original","trees",NA,NA,NA,0.0192173202917476,0.021668485212098,0.375250043097676
"PSA","stratification","ATE","6","70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.722382081152315,0.856116909607994,0.398887498444663
"PSA","stratification","ATE","6","70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.00192892841279412,0.0330253056029701,0.953429850425488
"PSA","stratification","ATE","6","70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.343216377452173,0.989623298250283,0.728766937564476
"PSA","stratification","ATE","6","70","~3","Raw","No","Expanded","trees",NA,NA,NA,0.0147496251773049,0.0221884412485143,0.506290581754113
"PSA","stratification","ATE","6","70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.548725100963951,0.863408734131538,0.525152783266049
"PSA","stratification","ATE","7","20/80","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.0424541583469581,0.0891765868145742,0.634121025829876
"PSA","stratification","ATE","7","20/80","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.145884774701025,2.06392028778075,0.943662748071286
"PSA","stratification","ATE","7","20/80","~3","Raw","No","Original","trees",NA,NA,NA,0.0108440849291319,0.0384750483244079,0.778130844473375
"PSA","stratification","ATE","7","20/80","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.533401542691327,1.32693625729164,0.687802273104924
"PSA","stratification","ATE","7","20/80","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.00497857864368631,0.0478882900050188,0.91721836061354
"PSA","stratification","ATE","7","20/80","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.272236527585698,1.61101473213704,0.865840181900927
"PSA","stratification","ATE","7","20/80","~3","Raw","No","Expanded","trees",NA,NA,NA,0.0371045228483532,0.0373659652501998,0.320997447033569
"PSA","stratification","ATE","7","20/80","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.48296274780678,1.15776533133771,0.200591870184055
"PSA","stratification","ATE","7","30/70","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.00989477897816723,0.0431852855450068,0.818809030999709
"PSA","stratification","ATE","7","30/70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.489437317364281,1.19289389550142,0.681658463596785
"PSA","stratification","ATE","7","30/70","~3","Raw","No","Original","trees",NA,NA,NA,-0.00267933449479702,0.0248453781137101,0.91413810674175
