"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p"
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","multiple imputation",NA,NA,"121",0.0102696685617653,0.025722065287938,0.689761450077083
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","multiple imputation",NA,NA,"121",0.0484634813931139,0.0245380639429053,0.0487385413644232
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","multiple imputation",NA,NA,"123",0.0243114856998314,0.0271193504433546,0.370164947869307
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","multiple imputation",NA,NA,"123",0.0568112119721391,0.0258275178645224,0.0282549441341873
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","multiple imputation",NA,NA,"125",0.033672464285046,0.0288044935730867,0.242560978366162
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","multiple imputation",NA,NA,"125",0.0592354703512162,0.0282956107234705,0.0366075559961661
"Logistic","","",NA,"","~1.5","Raw",NA,"Expanded","multiple imputation",NA,NA,"1.8",-0.0133535236546293,0.0427797110115598,0.754965410833062
"Logistic","","",NA,"","~3","Raw",NA,"Expanded","multiple imputation",NA,NA,"1.8",0.0633662258678753,0.0385032817290487,0.100507362414503
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","multiple imputation",NA,NA,"128",0.0430300188159279,0.0337717046636091,0.202788522786768
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","multiple imputation",NA,NA,"128",0.0662861011306925,0.0342036970222456,0.0531425711324311
"Logistic","","",NA,"","~1.5","Raw",NA,"Original","listwise",NA,"Sample weights","2.6",-0.00888750332292763,0.0234868711730481,0.705186189590416
"Logistic","","",NA,"","~3","Raw",NA,"Original","listwise",NA,"Sample weights","2.6",0.0300386515854531,0.0239948788209798,0.210816087853671
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","110",-0.00752594557964885,0.0240000502469705,0.753885093493812
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","110",0.0277405233062251,0.0246628304547294,0.260866215096839
"Logistic","","",NA,"","~1.5","Raw",NA,"Original","listwise",NA,NA,"2.6",-0.00579161882417306,0.0193372965702024,0.764554685978805
"Logistic","","",NA,"","~3","Raw",NA,"Original","listwise",NA,NA,"2.6",0.0111940199824712,0.0193980047583468,0.56389170347192
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,NA,"110",-0.00819730837978746,0.0197343404907655,0.677861593157956
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,NA,"110",-0.000609004129543763,0.0200525824182053,0.975771683933697
"Logistic","","",NA,"","~1.5","Raw",NA,"Original","listwise",NA,"Sample weights","2.4",0.00879328252923283,0.0253799039772974,0.729042164122846
"Logistic","","",NA,"","~3","Raw",NA,"Original","listwise",NA,"Sample weights","2.4",0.0489956871217472,0.0270305450723297,0.0700992937189695
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","111",-0.0116432777630198,0.0265785844071091,0.661401226768092
