"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p","CI.lower","CI.upper"
"PSA","stratification","ATE","7","20/80","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.404152927855633,1.60860145262716,0.801672120384351,-3.55695384048369,2.74864798477242
"PSA","stratification","ATE","7","20/80","~3","Raw","No","Expanded","trees",NA,NA,NA,0.0364534534694798,0.0374131365981013,0.330166801175594,-0.0368749468114761,0.109781853750436
"PSA","stratification","ATE","7","20/80","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.43948724002843,1.15724026778444,0.213888381003148,-3.70763648634542,0.82866200628857
"PSA","stratification","ATE","7","30/70","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00236034351942453,0.0421544175239964,0.95535623380649,-0.0802607966168726,0.0849814836557217
"PSA","stratification","ATE","7","30/70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.787454521076666,1.16988787392387,0.501002796230977,-3.08039261991758,1.50548357776425
"PSA","stratification","ATE","7","30/70","~3","Raw","No","Original","trees",NA,NA,NA,0.00124170955985576,0.0250821568478026,0.960523511197247,-0.047918414516422,0.0504018336361335
"PSA","stratification","ATE","7","30/70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.186187747010904,0.928453275403299,0.841091619586798,-2.00592272812962,1.63354723410781
"PSA","stratification","ATE","7","30/70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.00847512648673599,0.0431739700493378,0.844404947589288,-0.076144299879577,0.0930945528530489
"PSA","stratification","ATE","7","30/70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.02151656780475,1.20747033218119,0.39771142483294,-3.38811493128049,1.34508179567099
"PSA","stratification","ATE","7","30/70","~3","Raw","No","Expanded","trees",NA,NA,NA,0.00391485335514615,0.0253709043924383,0.877392091598537,-0.045811205509242,0.0536409122195343
"PSA","stratification","ATE","7","30/70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.334183514007647,0.91693346402728,0.715572416412755,-2.13134007972067,1.46297305170538
"PSA","stratification","ATE","7","40/60","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0240511048761793,0.0240684702862311,0.317805876044167,-0.0231222300478061,0.0712244398001647
"PSA","stratification","ATE","7","40/60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-1.06059785923347,0.852462330564191,0.213617580444995,-2.73139332531637,0.610197606849419
"PSA","stratification","ATE","7","40/60","~3","Raw","No","Original","trees",NA,NA,NA,-0.00922587282497553,0.0220291280795516,0.675414758113302,-0.0524021704717166,0.0339504248217656
"PSA","stratification","ATE","7","40/60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.262299069641473,0.7830606298324,0.737693254928949,-1.27247156254128,1.79706970182423
"PSA","stratification","ATE","7","40/60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.0246395299727932,0.0248593897239769,0.321754362230785,-0.0240839785638465,0.073363038509433
"PSA","stratification","ATE","7","40/60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.11119037427348,0.861220303133491,0.197143755621506,-2.79915115116979,0.576770402622827
"PSA","stratification","ATE","7","40/60","~3","Raw","No","Expanded","trees",NA,NA,NA,0.0000817995398768557,0.0230253721187134,0.997165887626032,-0.0450471005434341,0.0452106996231878
"PSA","stratification","ATE","7","40/60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.0641402843374279,0.79635470879997,0.935815749670516,-1.49668626382939,1.62496683250425
"PSA","stratification","ATE","7","50","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0178892788989268,0.0212985299680637,0.401048766735351,-0.0238550727621251,0.0596336305599787
"PSA","stratification","ATE","7","50","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.826068277689795,0.722159081786489,0.252808627351105,-2.24147406909983,0.589337513720239
"PSA","stratification","ATE","7","50","~3","Raw","No","Original","trees",NA,NA,NA,-0.0176517267499023,0.0189239607602787,0.351050000488877,-0.0547420082848977,0.019438554785093
"PSA","stratification","ATE","7","50","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.3484302252652,0.681442419836708,0.609188155052966,-0.987172375152571,1.68403282568297
"PSA","stratification","ATE","7","50","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.00813382750440494,0.0233268547637021,0.727359503048279,-0.0375859677050477,0.0538536227138575
"PSA","stratification","ATE","7","50","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.548512963919997,0.760160139867083,0.470640550283144,-2.03839946054241,0.941373532702414
